age,education_level,employment_type,region,night_light,gov_subsidy,electricity_access,repayment_status
56,No formal,Unemployed,Rural,81.1112400462496,0,1,Poor
46,High School,Unemployed,Rural,36.20923112620365,1,0,Poor
32,Graduate,Salaried,Semi-urban,12.045687158805052,0,1,Good
25,Graduate,Unemployed,Rural,45.70993667179834,1,1,Poor
38,No formal,Casual,Rural,66.51439452497857,0,1,Poor
56,Primary,Salaried,Semi-urban,79.37521181330891,0,0,Good
36,High School,Self-employed,Semi-urban,31.55675608321375,1,0,Medium
40,High School,Salaried,Semi-urban,57.45048834854782,0,0,Good
28,High School,Casual,Rural,43.0203431482992,0,1,Poor
28,High School,Casual,Urban,48.410774685437964,1,0,Poor
41,Graduate,Salaried,Urban,89.66515020525551,0,0,Good
53,Graduate,Salaried,Semi-urban,27.455445074072703,1,1,Good
57,Primary,Unemployed,Urban,53.8060949224186,1,1,Poor
41,High School,Casual,Semi-urban,57.0153975764815,1,1,Poor
20,High School,Salaried,Rural,66.2867948740902,1,1,Good
39,No formal,Salaried,Urban,51.46974730206343,1,1,Good
19,Graduate,Casual,Rural,54.62075809256154,0,1,Poor
41,High School,Salaried,Urban,44.125271488673135,0,0,Good
47,Primary,Unemployed,Rural,54.03690411867661,0,1,Poor
55,Primary,Casual,Urban,44.85211586753884,1,0,Poor
19,Graduate,Unemployed,Rural,59.323578347840765,1,0,Poor
38,Primary,Unemployed,Rural,44.45584495934549,1,0,Poor
50,Primary,Unemployed,Urban,55.65650590853279,1,1,Poor
29,Graduate,Unemployed,Rural,49.56105779472532,0,0,Poor
39,High School,Casual,Rural,66.89075376158252,0,1,Poor
42,High School,Unemployed,Rural,49.229094146172706,1,1,Poor
44,Primary,Unemployed,Urban,23.40451297689678,1,0,Poor
59,Primary,Salaried,Urban,68.92882251070988,0,1,Good
45,High School,Casual,Rural,36.414015487060716,1,0,Poor
33,Graduate,Casual,Rural,40.1935049202677,1,0,Poor
32,Primary,Self-employed,Urban,41.065080589347616,1,1,Medium
20,No formal,Casual,Urban,70.61657139756227,0,0,Poor
54,Graduate,Casual,Rural,17.964886790319568,0,0,Poor
24,Primary,Self-employed,Rural,97.0662280048999,1,0,Medium
38,Primary,Casual,Rural,65.84085213599077,0,1,Poor
26,No formal,Casual,Semi-urban,53.348583711937394,1,0,Poor
56,No formal,Casual,Urban,49.1765899907557,1,1,Poor
35,High School,Casual,Semi-urban,54.28331112286485,0,1,Poor
21,Graduate,Self-employed,Urban,57.81683642569008,1,0,Medium
42,Graduate,Casual,Urban,59.678233789250854,1,0,Poor
31,High School,Casual,Urban,58.334066990051724,0,1,Poor
26,Graduate,Self-employed,Urban,51.34371021882873,1,1,Medium
43,Graduate,Salaried,Urban,47.03992369539011,1,0,Good
19,Graduate,Unemployed,Urban,47.730900745197324,1,0,Poor
37,Graduate,Salaried,Urban,47.07637579470978,0,1,Good
45,Graduate,Self-employed,Semi-urban,67.00655145300597,1,1,Medium
24,No formal,Unemployed,Rural,58.90335083421293,0,1,Poor
25,Graduate,Self-employed,Rural,5.894170480035797,1,1,Medium
52,No formal,Self-employed,Semi-urban,59.83851164794642,1,1,Medium
31,Graduate,Casual,Semi-urban,52.92104292078162,1,0,Poor
34,High School,Unemployed,Semi-urban,49.71936865331154,1,1,Poor
53,Primary,Casual,Semi-urban,44.17222320366671,0,1,Poor
57,No formal,Unemployed,Urban,66.86169079979021,0,0,Poor
21,Graduate,Self-employed,Rural,64.21289693184286,1,0,Medium
19,High School,Self-employed,Urban,38.40683498264586,1,1,Medium
23,Primary,Salaried,Rural,56.105784306868024,1,1,Good
59,No formal,Unemployed,Rural,35.42514898188071,1,0,Poor
21,Primary,Casual,Semi-urban,29.30572752816604,1,1,Poor
46,High School,Salaried,Urban,40.59924163115052,1,1,Good
35,No formal,Salaried,Semi-urban,62.93590208574138,1,0,Good
43,Primary,Salaried,Urban,64.2968756806413,1,1,Good
51,Graduate,Casual,Rural,57.69628130145939,0,0,Poor
27,No formal,Salaried,Semi-urban,60.87643680271996,0,0,Good
53,Primary,Casual,Semi-urban,57.742674306724375,0,0,Poor
31,High School,Salaried,Rural,40.37777607165572,1,0,Good
48,High School,Casual,Rural,56.47883817010911,1,1,Poor
32,No formal,Self-employed,Rural,62.00614287841523,1,0,Medium
25,Primary,Self-employed,Semi-urban,61.314369947203616,0,1,Poor
31,No formal,Self-employed,Urban,67.83370057211964,1,1,Medium
40,No formal,Self-employed,Semi-urban,60.624557708015956,0,1,Poor
57,Primary,Self-employed,Urban,55.27172311312374,1,1,Medium
38,Primary,Salaried,Semi-urban,66.05225357474642,0,1,Good
33,Graduate,Salaried,Semi-urban,49.6021811112641,0,0,Good
35,Primary,Salaried,Rural,36.771880231584234,0,0,Good
41,High School,Casual,Urban,47.553995540843545,1,0,Poor
43,No formal,Casual,Semi-urban,38.82646032790326,0,0,Poor
42,No formal,Casual,Semi-urban,39.87232587538428,1,1,Poor
58,High School,Casual,Rural,47.83221993926723,1,0,Poor
46,Primary,Self-employed,Rural,38.11370118500058,1,1,Medium
32,High School,Self-employed,Urban,45.38057705541439,1,1,Medium
18,High School,Self-employed,Semi-urban,21.595779995693213,1,0,Medium
42,Graduate,Unemployed,Urban,53.19940561059408,0,0,Poor
24,High School,Salaried,Semi-urban,50.01808213043336,1,0,Good
26,No formal,Casual,Urban,37.74367053397714,1,0,Poor
41,High School,Casual,Rural,59.88868502648607,1,1,Poor
18,No formal,Self-employed,Semi-urban,64.06355206439838,1,1,Medium
25,No formal,Casual,Urban,25.886602034465387,1,0,Poor
41,No formal,Casual,Rural,38.55912832150679,0,1,Poor
28,Primary,Salaried,Rural,38.46286475319053,0,1,Good
34,Graduate,Self-employed,Urban,35.90145348336703,1,1,Medium
25,No formal,Salaried,Semi-urban,62.44212262897623,0,0,Good
52,No formal,Unemployed,Semi-urban,47.09260791840795,0,1,Poor
52,Primary,Unemployed,Rural,46.03227738034084,1,0,Poor
50,No formal,Unemployed,Semi-urban,19.942064533898698,0,0,Poor
22,High School,Self-employed,Semi-urban,59.5312704531384,1,1,Medium
59,High School,Casual,Semi-urban,31.41112407719791,0,1,Poor
56,Graduate,Self-employed,Rural,50.89898945399492,0,0,Poor
58,No formal,Self-employed,Urban,54.160654069372875,0,1,Poor
45,Primary,Casual,Semi-urban,70.40987893757976,1,1,Poor
24,High School,Salaried,Rural,30.36769401321332,0,0,Good
26,Primary,Unemployed,Rural,4.707317662687622,0,0,Poor
25,Primary,Salaried,Urban,52.75774317130542,1,0,Good
29,High School,Unemployed,Semi-urban,77.0076677226628,1,0,Poor
51,Primary,Self-employed,Semi-urban,68.58419529409156,0,1,Poor
50,High School,Unemployed,Urban,53.14489122911939,1,1,Poor
40,Primary,Self-employed,Urban,42.62545721551929,0,0,Poor
41,High School,Salaried,Rural,62.10683894955966,0,0,Good
54,No formal,Self-employed,Rural,35.39680700443297,1,0,Medium
52,Graduate,Salaried,Urban,57.14536654034329,1,1,Good
57,High School,Casual,Semi-urban,57.5820523874994,1,0,Poor
39,High School,Casual,Rural,65.90314861248319,0,1,Poor
44,Graduate,Casual,Rural,91.39490058366616,1,0,Poor
52,High School,Self-employed,Semi-urban,55.88623950768151,0,0,Poor
18,High School,Casual,Rural,42.36554561438752,1,0,Poor
52,Primary,Unemployed,Semi-urban,49.616385317120084,0,1,Poor
54,Graduate,Salaried,Semi-urban,23.463861426663225,1,1,Good
31,No formal,Salaried,Semi-urban,39.579303033664125,0,1,Good
20,High School,Unemployed,Urban,43.86076342830344,1,0,Poor
18,Graduate,Self-employed,Urban,42.138674030981115,0,1,Poor
22,Primary,Self-employed,Urban,52.28532308050583,1,1,Medium
43,No formal,Salaried,Semi-urban,37.66370101426699,1,0,Good
31,Graduate,Casual,Semi-urban,66.81546000986707,0,0,Poor
56,No formal,Self-employed,Urban,50.00310597377295,1,1,Medium
44,No formal,Self-employed,Rural,49.860495182920786,0,1,Poor
26,No formal,Unemployed,Semi-urban,45.081579252306234,0,1,Poor
32,High School,Unemployed,Rural,52.32786025788469,1,1,Poor
32,High School,Casual,Rural,62.37647397001452,0,0,Poor
43,Primary,Self-employed,Semi-urban,36.9930467643365,1,0,Medium
59,Primary,Self-employed,Semi-urban,40.12825266387115,1,0,Medium
