id,occupation,education,is_urban,housing_type,household_size,income,upi_txns_month,mobile_recharge_freq,night_light,bill_payment_consistency,ecommerce_freq,skill_level,market_density,public_transport_access,loan_amount,income_to_loan_ratio,repayment_capability
1,Service,Bachelor,False,Owned,5,36764.24,22,4,False,0.966969130473819,2,0.77,0.3147924385952785,0.8590130050517774,137211.58,0.27,24.92
2,Retired,Bachelor,True,Owned,1,37224.91,14,0,False,0.5359614887096955,3,0.84,0.6109812500349505,0.25075247757235436,161451.74,0.23,19.9
3,Skilled Worker,High School,True,Government,4,16793.13,21,3,False,0.5421539149807206,5,0.66,0.8483742649893055,0.4922759353075,67310.86,0.25,6.81
4,Business,Bachelor,True,Rented,3,39699.42,17,1,False,0.7908054632442614,6,1.19,0.501990105104157,0.2002633837381865,193019.19,0.21,36.8
5,Professional,Bachelor,True,Owned,5,50364.57,12,2,False,0.9726420523281696,1,1.61,0.7078022588547878,0.9957008300574076,221660.87,0.23,93.83
6,Professional,Master,False,Owned,7,97614.25,19,1,False,0.8808978630933899,3,1.89,0.5685084484894573,0.641324200112595,227407.55,0.43,171.55
7,Professional,High School,False,Joint,6,71555.99,23,3,False,0.8442493601009542,2,0.87,0.9220714535532891,0.4253710291380919,14091.24,5.08,46.5
8,Unskilled Worker,Bachelor,True,Owned,7,10038.22,19,0,False,0.7016385542896317,0,0.67,0.565179698091636,0.5439699272704394,17845.2,0.56,3.94
9,Business,Master,False,Owned,6,52310.75,18,2,True,0.8523935697377197,3,1.73,0.31124295164399773,0.12201024121634221,32557.58,1.61,64.36
10,Skilled Worker,Master,True,Rented,2,33958.68,27,0,False,0.8013755868828447,3,1.25,0.2531917645452386,0.187169548977004,136395.84,0.25,31.09
11,Professional,Master,True,Owned,6,44899.0,16,2,False,0.8957635544746938,4,1.99,0.8463775458883841,0.8041090215702775,193030.72,0.23,85.52
12,Retired,Master,True,Joint,5,43154.48,16,4,True,0.9597433385364568,3,1.0,0.4035140670805911,0.46363272232648145,88011.07,0.49,34.03
13,Unskilled Worker,PhD,True,Government,1,38757.27,18,3,True,0.8692439146217571,2,1.26,0.2982228138407911,0.3174358951466715,25949.84,1.49,42.03
14,Professional,Bachelor,True,Owned,3,29013.02,25,1,True,0.6189759112228961,1,1.68,0.3088171235891433,0.145626216274729,110812.98,0.26,31.78
15,Professional,Bachelor,True,Rented,2,28310.76,28,2,False,0.739154898934461,5,1.61,0.8569461202711144,0.7998909774009366,50674.83,0.56,31.45
16,Professional,High School,False,Joint,7,44834.28,17,5,False,0.8611998838426741,2,1.12,0.14568430815773575,0.4280337272176321,115828.4,0.39,35.62
17,Service,High School,False,Rented,6,13255.76,17,1,False,0.908249091355013,6,0.72,0.12062926543126692,0.8297462203475011,1064.02,12.45,7.14
18,Business,High School,False,Rented,6,23348.79,19,1,False,0.6107542106530932,3,0.76,0.4924155750423279,0.17838916637523933,94403.66,0.25,12.14
19,Service,High School,True,Owned,7,36303.57,22,0,False,0.7794869899955802,1,0.74,0.1638344930859491,0.38744394021079986,175009.43,0.21,18.89
20,Professional,High School,True,Rented,3,38792.55,18,0,False,0.9696892536301274,4,0.82,0.5460950017440923,0.6850389659632621,109695.34,0.35,35.05
21,Business,High School,True,Government,3,71646.8,6,0,True,0.8356951187635411,7,0.93,0.29815015588445304,0.3456493359320223,71711.38,1.0,51.78
22,Professional,High School,True,Owned,7,33735.51,15,0,True,0.7705192864043309,1,1.05,0.5086107589126005,0.48624159931124566,99838.83,0.34,32.04
23,Professional,PhD,True,Owned,5,232907.02,14,5,True,0.8493558326381898,2,1.88,0.11405774575492798,0.7263200947062439,1081840.07,0.22,445.58
24,Service,High School,True,Owned,6,20870.79,17,2,False,0.7810719143060321,6,0.58,0.5023178900090084,0.5454513060622601,37102.15,0.56,10.58
25,Service,Master,True,Owned,4,77335.23,25,2,False,0.6452671182669026,3,1.26,0.3528967508050024,0.767553251948187,281632.98,0.27,65.36
26,Skilled Worker,High School,True,Owned,6,16703.43,22,2,False,0.7035811303382163,4,0.62,0.9586496283285313,0.15009359296559627,70649.31,0.24,5.93
27,Professional,PhD,True,Rented,5,55097.22,14,3,False,0.9158257236614219,3,2.27,0.7279474497463144,0.9274579043204205,45209.94,1.22,117.81
28,Business,Master,True,Owned,2,143000.53,16,3,False,0.7942640973352798,1,1.66,0.12826030375787165,0.9973101977885753,326624.48,0.44,154.69
29,Business,Bachelor,True,Rented,1,33346.75,17,1,True,0.7135946169075906,1,1.5,0.6155076271862024,0.9462641938513845,2295.22,14.52,41.21
30,Professional,Bachelor,True,Rented,6,45605.93,16,2,True,0.5564347112964405,2,1.38,0.8012611181874171,0.3111799561310937,198112.52,0.23,31.25
31,Business,High School,False,Owned,5,23741.11,24,2,True,0.5575079941934594,1,1.0,0.48412282413209184,0.9513093197487034,78686.29,0.3,13.99
32,Professional,Diploma,True,Rented,4,75821.99,25,2,False,0.5756041469310771,3,1.17,0.9813553426272317,0.2885825280277209,93061.99,0.81,50.53
33,Professional,Master,False,Government,4,36105.36,22,3,False,0.9630853740157208,3,1.9,0.7792374040273911,0.5527324941765367,159518.21,0.23,67.35
34,Student,Master,True,Owned,5,45386.34,23,1,False,0.9786169754014822,8,0.55,0.2740689805301867,0.8211974388375985,13093.3,3.47,23.37
35,Retired,Bachelor,True,Government,2,32833.9,29,0,False,0.8666606862405944,4,0.66,0.6389451929865969,0.7049847920824536,10709.96,3.07,16.96
36,Unskilled Worker,Bachelor,False,Rented,4,27904.79,20,2,False,0.5239450522987563,4,0.82,0.16548874693357435,0.540513994506052,26642.1,1.05,9.8
37,Service,Master,True,Government,4,41284.16,28,0,False,0.8011686274639819,5,1.39,0.1564179655785816,0.3525364088851265,57736.51,0.72,46.42
38,Professional,High School,True,Rented,6,66515.48,16,4,False,0.8121452433514568,1,1.16,0.7881400557171045,0.9818156881642548,231258.79,0.29,51.34
39,Skilled Worker,Bachelor,False,Rented,6,32545.12,21,2,False,0.9923351796466497,5,1.1,0.5587398889545918,0.7289622484611976,121837.57,0.27,41.5
40,Service,High School,True,Rented,7,16034.04,27,1,True,0.6196896044927538,1,0.63,0.45420044013617755,0.2791360839104873,8571.09,1.87,7.08
41,Professional,PhD,True,Owned,2,98928.76,22,1,False,0.861553208533997,4,1.8,0.867516198317353,0.46914226326082975,436800.65,0.23,181.0
42,Service,High School,False,Rented,2,21922.17,18,2,False,0.9968175953557941,0,0.51,0.13893791347582998,0.46778247822494623,84332.15,0.26,11.71
43,Professional,High School,False,Owned,2,94864.29,22,2,False,0.9695422535994092,4,1.1,0.10406188697131293,0.9112665628106189,307191.73,0.31,116.8
44,Student,Bachelor,True,Rented,7,28645.96,16,0,False,0.677232033561046,8,0.45,0.3474560795209116,0.17141768009036737,1951.2,14.67,7.3
45,Professional,Master,True,Rented,2,78610.44,15,1,False,0.5706825310281647,2,1.69,0.28896773337056736,0.3923335241514929,37496.58,2.1,71.1
46,Skilled Worker,Bachelor,False,Owned,5,74389.55,29,1,True,0.538336959215545,3,1.08,0.5132734334962532,0.2614119871066821,206207.08,0.36,49.14
47,Service,High School,True,Rented,5,11075.98,24,1,False,0.5299184705360707,5,0.56,0.10333577437,0.9541282188633615,43637.14,0.25,2.79
48,Business,High School,True,Owned,3,43748.89,15,3,False,0.544032881292677,4,1.09,0.9313718362444149,0.616230750751338,171057.14,0.26,24.32
49,Business,Master,True,Owned,7,64586.62,15,1,False,0.989768266805967,5,1.38,0.8527921648566188,0.7109130241594026,242339.11,0.27,83.94
50,Professional,Diploma,False,Government,3,39036.91,19,4,False,0.9934665099652124,1,0.96,0.24679347256754464,0.26049110344356274,57718.35,0.68,39.94
51,Retired,Master,True,Rented,7,32818.3,17,3,False,0.5578375693670266,3,1.18,0.6579407963749745,0.5224965099606615,21551.59,1.52,19.29
52,Skilled Worker,Bachelor,False,Government,3,63362.37,19,3,True,0.5409299179848182,4,1.16,0.3873169099090398,0.6518776181616934,19295.03,3.28,43.17
53,Student,PhD,True,Owned,4,10737.85,26,0,False,0.8322879655723991,6,0.9,0.8354547921531373,0.2684383898759465,26406.53,0.41,6.93
54,Unskilled Worker,Bachelor,True,Government,2,32195.3,17,3,False,0.909431641886524,2,0.56,0.8884848517506728,0.9030544407027544,71731.44,0.45,16.67
55,Business,Bachelor,False,Rented,5,23089.78,12,1,False,0.879109130841075,2,1.19,0.6389273608542068,0.10279604101494458,70934.54,0.33,25.32
56,Student,Bachelor,False,Owned,5,16067.46,28,4,False,0.5046469877933814,0,0.51,0.9053753204140977,0.25314646431324117,48688.97,0.33,4.02
57,Professional,Bachelor,True,Joint,2,49578.78,24,2,True,0.7173655791542127,3,1.58,0.36588770755161293,0.9544865441370892,208870.55,0.24,50.17
58,Professional,Master,True,Rented,3,148311.83,27,3,True,0.8600159929525096,1,2.17,0.4175964447664344,0.6096121547477008,571743.4,0.26,325.08
59,Professional,Bachelor,False,Owned,6,38936.75,18,1,False,0.9064237026936206,4,1.66,0.15921847314416912,0.45609390445164044,116299.48,0.33,53.53
60,Service,Bachelor,True,Joint,7,33584.37,21,4,False,0.8471500751822045,2,1.0,0.4347964127194742,0.6068273963635176,160162.1,0.21,32.68
61,Service,High School,True,Owned,4,12376.61,19,2,False,0.6648557718284915,4,0.69,0.8475709831270414,0.698726454268256,29285.75,0.42,6.12
62,Professional,High School,True,Rented,5,45830.66,13,1,True,0.6354083291496648,3,1.18,0.32315934409271374,0.5455698103025801,218966.57,0.21,36.41
63,Unskilled Worker,Bachelor,False,Owned,1,13066.55,23,2,False,0.9145157272269506,6,0.83,0.7741691329267174,0.536753784684765,15441.21,0.85,11.76
64,Service,High School,False,Rented,4,9403.97,16,1,True,0.7716718877033331,1,0.58,0.669236919341513,0.4534654624132256,46639.43,0.2,3.68
65,Professional,High School,False,Joint,4,16736.29,15,1,False,0.6271557261273897,2,0.93,0.2207806385179489,0.20245469329722787,54582.14,0.31,9.57
66,Business,Bachelor,True,Rented,3,40964.24,14,1,False,0.9336544839091759,6,1.52,0.5256862718134218,0.2397121497664179,2180.35,18.78,66.58
67,Professional,Bachelor,True,Rented,2,45231.66,18,1,True,0.9083584463245225,4,1.17,0.2319922742587479,0.3181792180997659,59136.46,0.76,53.46
68,Unskilled Worker,Master,True,Rented,7,58281.89,27,3,False,0.7467332964348548,3,0.79,0.2751137733650628,0.8146098155729169,235927.44,0.25,29.91
69,Professional,Bachelor,True,Owned,7,108831.05,24,1,False,0.9051858420809857,3,1.58,0.33338350001753225,0.4549249830666875,94470.63,1.15,139.23
70,Unemployed,Master,True,Government,1,29954.26,15,3,False,0.5517235544507548,2,0.45,0.8412812946209851,0.7925420165321074,88359.34,0.34,6.71
71,Skilled Worker,PhD,True,Rented,3,96841.35,19,4,True,0.9537449657285142,2,1.61,0.8170795936133938,0.7446443552674343,302344.92,0.32,141.19
72,Professional,Master,True,Rented,2,186567.97,18,1,True,0.9889078763794494,5,1.99,0.8704042424699999,0.7610522355201053,131487.86,1.42,382.24
73,Professional,Bachelor,True,Rented,7,63841.13,20,1,False,0.505435858146252,0,1.22,0.3154273200028824,0.7383946218735624,215787.14,0.3,38.87
74,Unskilled Worker,Bachelor,True,Joint,1,32154.08,19,0,True,0.933403482035785,1,0.57,0.7297966776100234,0.1261785612711446,18792.08,1.71,18.63
75,Skilled Worker,Diploma,False,Owned,6,76956.5,27,2,False,0.8759922556847657,2,0.9,0.7137945009990219,0.8978352013842059,161660.3,0.48,62.85
76,Skilled Worker,High School,True,Rented,6,14561.74,26,3,True,0.9275408271255491,5,0.67,0.30900865684423107,0.40320405085921796,28657.68,0.51,10.21
77,Skilled Worker,High School,True,Owned,5,40669.75,25,1,False,0.6484111410276134,2,0.61,0.16987952747728652,0.7563980200555454,48343.79,0.84,18.48
78,Professional,Bachelor,True,Rented,1,49656.79,22,2,False,0.9775177780800077,1,1.35,0.368842320652669,0.44377701307600437,16314.96,3.04,71.89
79,Service,High School,False,Owned,3,44558.55,19,5,False,0.9164587357505216,2,0.58,0.47071743412612743,0.6268018802981369,47386.75,0.94,26.5
80,Professional,Diploma,True,Rented,1,78029.92,21,3,False,0.7060926525415266,2,1.42,0.8747382627584103,0.5988579849281482,203524.8,0.38,66.38
81,Unskilled Worker,Bachelor,True,Joint,1,23415.54,21,4,True,0.8942211175740227,1,0.75,0.9375861632548936,0.9561181865897634,66405.01,0.35,17.26
82,Business,Bachelor,True,Government,1,25847.65,23,2,False,0.7130283178028836,5,1.14,0.4094850643348993,0.8907037568775636,2860.15,9.03,19.66
83,Service,Bachelor,True,Owned,5,64177.45,16,3,False,0.6648465474047598,1,0.89,0.9308480720674015,0.8980487180082046,267413.14,0.24,40.18
84,Professional,Bachelor,False,Owned,6,40131.07,19,3,False,0.5729998394946656,2,1.5,0.947700150152027,0.9941253098450618,175594.42,0.23,32.59
85,Service,High School,True,Owned,6,24306.6,22,0,False,0.9638304639297455,6,0.71,0.7585256584333812,0.6253418325101466,69174.56,0.35,13.61
86,Service,Bachelor,True,Rented,2,18679.5,20,4,False,0.6157773793227813,0,0.98,0.72252609390937,0.7080987366445852,91621.66,0.2,9.02
87,Skilled Worker,Master,True,Owned,1,39421.34,13,0,False,0.7555883707581321,2,1.18,0.506304411125795,0.7522180925185721,196623.09,0.2,37.62
88,Business,Bachelor,True,Owned,7,78473.8,25,5,False,0.7642215021495844,3,1.43,0.8919142038131014,0.4605511383436358,33815.4,2.32,84.04
89,Unskilled Worker,Master,True,Government,4,40065.53,18,4,False,0.5169381595140627,4,0.94,0.8047711731928169,0.35791343105368056,192821.24,0.21,18.62
90,Service,High School,True,Rented,7,15714.23,19,1,True,0.8983125200218179,7,0.68,0.9139183530442998,0.8112362797940403,34927.49,0.45,11.03
91,Professional,High School,False,Owned,3,13910.79,14,0,False,0.8467435574539581,1,0.84,0.5687209310620983,0.5158130656895785,42312.21,0.33,8.67
92,Skilled Worker,High School,False,Owned,4,35861.53,15,0,True,0.6448171830956434,3,0.68,0.19450686884705753,0.10463402627618651,55222.7,0.65,14.7
93,Skilled Worker,Bachelor,False,Rented,7,29506.68,24,4,False,0.9664144985778924,2,0.99,0.25131610377727776,0.4043003840603602,37068.98,0.8,30.63
94,Business,Master,True,Owned,2,66980.96,19,3,False,0.9957786520122477,6,1.52,0.3861511600337937,0.30599509813870246,290066.08,0.23,104.1
95,Skilled Worker,Master,True,Government,3,44087.43,21,2,True,0.8369199199020094,1,1.09,0.27630348674297334,0.7009938282476955,153147.74,0.29,36.28
96,Service,Bachelor,True,Government,2,26421.97,16,1,True,0.8743379532974271,4,0.72,0.884897807496463,0.8095727348424049,111479.35,0.24,15.67
97,Business,Bachelor,True,Owned,7,64364.74,27,3,False,0.5297680587383133,2,1.2,0.5602534145728335,0.5205972646269962,11687.66,5.51,43.66
98,Service,Master,True,Rented,3,27524.06,15,1,False,0.7176902106541194,1,1.24,0.17873155790613798,0.6238924748908359,133617.86,0.21,27.6
99,Professional,High School,False,Joint,6,38353.57,17,2,True,0.51233285847772,1,0.82,0.5997401395742172,0.10575046129797933,115819.41,0.33,15.2
100,Professional,High School,True,Owned,6,43789.7,23,1,False,0.8595422259289704,3,0.93,0.4417558759939729,0.5354020477764002,146318.64,0.3,40.67
101,Professional,Diploma,False,Rented,4,84771.69,25,2,True,0.9154152745571639,7,1.2,0.7594832194193794,0.405256678859911,40083.53,2.11,89.2
102,Business,Bachelor,True,Rented,4,48457.86,25,2,False,0.559515273566434,2,1.15,0.14195469717281994,0.9231650212213923,106431.0,0.46,32.16
103,Service,Diploma,True,Rented,7,15308.76,16,3,False,0.54689623586529,2,0.92,0.7181906566356352,0.9861096104380846,39337.75,0.39,8.5
104,Business,Bachelor,True,Rented,5,66155.64,20,3,False,0.9116744943102025,2,1.49,0.21639641607605575,0.14965994838345406,288106.86,0.23,102.61
105,Student,Master,True,Owned,7,15141.12,15,0,True,0.7535476337194147,1,0.66,0.547210201048518,0.4038236525647504,5725.44,2.64,6.85
106,Professional,High School,True,Rented,7,25457.06,21,0,False,0.9231898850900997,2,1.12,0.871739064571421,0.28489347902183954,51103.68,0.5,26.52
107,Service,High School,False,Rented,7,17819.16,23,6,False,0.6978703563643207,3,0.68,0.7812802614567262,0.43981625142508407,37803.71,0.47,9.33
108,Skilled Worker,Bachelor,False,Rented,2,33110.8,12,0,False,0.5872215780308945,4,0.93,0.3861313456479889,0.8022059966543992,108717.75,0.3,18.96
109,Professional,Bachelor,True,Owned,4,97039.56,22,0,False,0.6854571996127572,1,1.47,0.9316948536643769,0.44499189151818475,349179.85,0.28,111.67
110,Professional,High School,True,Rented,3,49304.73,10,3,False,0.6396277632459815,6,0.86,0.5935937446987143,0.9790100982960368,147767.59,0.33,23.71
111,Professional,High School,False,Rented,1,20533.04,15,1,True,0.7545923834729733,1,1.01,0.8390675332319346,0.7767184082141508,63695.67,0.32,18.03
112,Professional,High School,False,Rented,7,75819.72,21,2,False,0.945401812298138,4,0.82,0.6169229404605096,0.2576081438730019,11129.52,6.81,60.6
113,Student,Master,True,Owned,1,40125.3,16,1,False,0.6787638183393248,2,0.63,0.8765924174200275,0.9847480565190186,83731.47,0.48,20.44
114,Unskilled Worker,Bachelor,False,Rented,1,31307.78,20,2,True,0.8675958764681799,5,0.73,0.7985244639970145,0.16703450311256451,58082.03,0.54,16.32
115,Business,High School,True,Owned,5,10373.23,23,1,True,0.8194770409406664,4,0.86,0.8665957042971277,0.8348744812148797,21424.8,0.48,7.73
116,Unskilled Worker,High School,True,Rented,7,11668.05,16,5,False,0.6113628922039607,0,0.42,0.7967393622529988,0.16539574767817083,35551.4,0.33,2.43
117,Unskilled Worker,High School,True,Rented,4,17875.2,20,1,True,0.658640988826048,4,0.41,0.40681239601413954,0.2015309415314016,85935.6,0.21,4.5
118,Professional,Bachelor,True,Rented,2,116329.89,15,1,False,0.6032429125507504,3,1.29,0.9353526979272405,0.16209935002216522,299906.78,0.39,73.09
119,Unskilled Worker,High School,True,Rented,2,34523.12,30,1,False,0.8791316648254319,4,0.58,0.7078727652258084,0.7571401230710936,45347.8,0.76,14.09
120,Business,Master,True,Rented,7,37873.73,16,1,True,0.5641260775693686,1,1.96,0.15222154065961757,0.7571548157341006,31219.08,1.21,43.71
121,Unskilled Worker,High School,True,Rented,7,7681.09,27,3,False,0.7892656556297943,2,0.57,0.900274722654193,0.8970716945121336,11490.62,0.67,3.25
122,Unskilled Worker,High School,False,Rented,5,16243.42,13,2,False,0.5856357017263782,6,0.53,0.1943323421566588,0.5790188815604648,59710.08,0.27,4.8
123,Service,Master,False,Owned,3,45578.66,25,3,True,0.5987023428728931,4,1.38,0.4751390969100959,0.4603506241043205,21044.85,2.17,34.76
124,Professional,Master,True,Rented,6,35533.42,18,1,False,0.5025902698327045,3,1.62,0.5503992852154942,0.27515948779243277,69256.54,0.51,34.47
125,Professional,High School,True,Joint,7,23025.18,20,2,False,0.7204010712012925,3,1.1,0.479119419140027,0.11632186791228935,74401.09,0.31,15.85
126,Service,Master,True,Joint,4,122403.17,19,5,False,0.9046772448787087,0,1.27,0.7761370622772146,0.6779398940057664,281989.55,0.43,130.03
127,Unskilled Worker,Bachelor,True,Owned,4,21084.93,13,2,False,0.5440474643400547,3,0.84,0.14663490569440474,0.6481698592139097,30039.51,0.7,8.55
128,Unskilled Worker,Master,True,Rented,3,28432.16,23,3,False,0.9231391175873944,5,0.93,0.7518144064682502,0.1142455186391737,1899.21,14.96,25.26
129,Professional,Bachelor,True,Joint,3,208902.98,19,5,False,0.9217514002695272,1,1.28,0.7670930467902618,0.47525911624797,612197.29,0.34,264.0
130,Business,Bachelor,True,Rented,4,39854.89,18,1,False,0.6160833766953786,1,1.04,0.12337785956909418,0.7058325811820075,90193.5,0.44,28.2
131,Service,Diploma,True,Rented,4,16755.2,17,0,False,0.9366166035232399,0,0.89,0.22878975897801235,0.31752292852691033,26761.56,0.63,13.75
132,Professional,High School,True,Rented,1,24964.52,27,3,False,0.9132686464702129,4,1.15,0.4373042078163194,0.2395429025470714,44422.85,0.56,28.35
133,Professional,Bachelor,False,Government,7,58821.55,21,5,False,0.8271891749309868,0,1.58,0.5938337500797627,0.6914301864236474,45836.85,1.28,86.07
134,Service,Bachelor,True,Rented,7,25775.92,16,3,False,0.9156508019516485,4,0.89,0.24385547115621672,0.8727730890381882,52819.26,0.49,22.12
135,Student,High School,True,Government,7,11909.65,21,2,False,0.5368294560490298,4,0.32,0.8898290750070571,0.532319752032349,46241.52,0.26,2.09
136,Service,High School,True,Rented,2,22392.61,19,2,False,0.6595412929012314,4,0.63,0.9031421140764272,0.7445630828913229,85821.64,0.26,10.67
137,Business,High School,True,Government,1,159471.8,16,7,False,0.6443228417153171,4,0.76,0.15439723259313112,0.8559351229839917,225304.39,0.71,82.2
138,Skilled Worker,Bachelor,True,Government,1,51861.03,22,5,True,0.8908134146886804,6,0.87,0.2839120419964539,0.7700688226755563,74495.64,0.7,40.68
139,Service,Bachelor,False,Government,2,20314.94,26,1,False,0.8758649101771098,3,0.79,0.6017376741618724,0.9432203819485844,35554.07,0.57,14.52
140,Retired,Bachelor,True,Owned,5,26628.95,17,1,True,0.9454971212897139,2,0.68,0.48166942393535506,0.13875178303683486,123830.47,0.22,16.17
141,Retired,High School,False,Joint,6,30384.83,23,3,False,0.6442434564723908,7,0.59,0.8977192317411294,0.9549853390944418,45540.75,0.67,11.8
142,Professional,Bachelor,True,Government,5,87369.25,16,0,False,0.7369135595700578,3,1.27,0.5797096777712173,0.9290113398692418,48087.03,1.82,79.1
143,Service,PhD,True,Rented,5,21980.22,24,1,False,0.509379569906878,0,1.27,0.7456146385867265,0.9568541430657727,96035.88,0.23,16.57
144,Service,Bachelor,True,Owned,5,16092.1,21,4,False,0.9950765177785406,5,0.9,0.611106824898315,0.8876829481686394,58454.8,0.28,16.91
145,Professional,Bachelor,True,Owned,3,64309.03,13,3,False,0.7055182276197521,0,1.38,0.8635348233265064,0.5269715588346736,25121.83,2.56,61.97
146,Professional,Master,True,Rented,1,48048.48,16,1,False,0.7789571950080301,4,1.78,0.9465660124351405,0.2206779801768376,212465.89,0.23,72.14
147,Business,Master,False,Owned,3,41590.36,25,1,False,0.76621913457005,2,2.0,0.14302000449062835,0.9253046926483194,181386.28,0.23,67.41
148,Business,Bachelor,True,Rented,7,51839.3,18,4,True,0.6946273585822138,7,1.31,0.8803377941151841,0.4233056997597995,67470.71,0.77,51.26
149,Professional,Master,True,Owned,3,98146.57,15,1,True,0.6164701305098601,2,1.99,0.6721355726795721,0.9782338245573725,28718.74,3.42,123.36
150,Professional,Bachelor,False,Rented,2,45116.68,22,3,False,0.8730743777609091,3,1.64,0.9674987470495849,0.35171138366444255,139427.37,0.32,69.23
151,Student,Master,True,Rented,5,8934.63,25,1,False,0.6880390107938612,4,0.61,0.7901645323155726,0.516136335150813,19445.19,0.46,3.87
152,Professional,High School,True,Rented,4,27323.72,12,4,True,0.8362586653589881,2,0.94,0.9966313159196389,0.6753417618491603,132879.93,0.21,23.32
153,Professional,High School,True,Joint,5,19922.29,23,2,False,0.8651875530094411,0,1.17,0.5590894525049481,0.3832640776577465,53600.49,0.37,23.52
154,Service,High School,True,Rented,1,30297.7,15,1,False,0.8629863274391343,6,0.66,0.7451332600749634,0.9228671580983949,73852.41,0.41,17.64
