id,occupation,upi_txns_month,mobile_recharge_freq,night_light,education,is_urban,bill_payment_consistency,ecommerce_freq,skill_level,household_size,market_density,public_transport_access,housing_type,income,loan_amount,income_to_loan_ratio,repayment_capability
37302451,Construction Worker,48,Weekly,62,Illiterate,1,1,10,Semi-Skilled,5,0.2,1,Pucca,18269,59981,0.3,0.92
53878691,Street Vendor,10,Irregular,77,Graduate,1,0,3,Semi-Skilled,7,0.8,1,Semi-Pucca,22158,83917,0.26,0.77
56578836,Delivery Partner,6,Weekly,19,Secondary,0,1,2,Unskilled,3,0.3,1,Pucca,17561,14430,1.22,0.95
81398974,Tailor,21,Weekly,64,Primary,1,1,7,Semi-Skilled,3,0.5,1,Pucca,22385,36183,0.62,0.95
66368284,Small Shop Owner,22,Monthly,27,Primary,0,1,7,Unskilled,7,0.2,0,Kutcha,24030,82864,0.29,0.95
9761033,Construction Worker,12,Monthly,77,Primary,1,0,4,Semi-Skilled,5,0.8,1,Kutcha,17302,94029,0.18,0.73
81934808,Farmer,1,Monthly,20,Primary,0,0,0,Semi-Skilled,3,0.2,1,Semi-Pucca,7784,38980,0.2,0.44
55112627,Domestic Worker,11,Monthly,83,Illiterate,1,0,3,Semi-Skilled,6,0.6,1,Semi-Pucca,16426,15563,1.06,0.73
40168160,Farmer,2,Monthly,56,Primary,1,1,0,Unskilled,2,0.4,1,Pucca,11214,34922,0.32,0.59
56687004,Street Vendor,22,Weekly,63,Primary,1,1,7,Unskilled,7,0.8,1,Pucca,20644,92885,0.22,0.88
21968025,Farmer,5,Irregular,31,Illiterate,0,0,1,Skilled,7,0.3,1,Semi-Pucca,9191,28268,0.33,0.33
41068540,Small Shop Owner,18,Irregular,36,Graduate,0,0,6,Semi-Skilled,5,0.2,1,Semi-Pucca,30129,22167,1.36,0.95
40336347,Street Vendor,22,Monthly,21,Secondary,0,1,7,Semi-Skilled,5,0.3,0,Semi-Pucca,12907,20401,0.63,0.74
44949701,Farmer,13,Irregular,54,Primary,1,0,4,Unskilled,4,0.4,1,Semi-Pucca,11868,34260,0.35,0.65
98734203,Auto Rickshaw Driver,11,Monthly,24,Primary,0,0,3,Semi-Skilled,4,0.3,1,Semi-Pucca,14534,47873,0.3,0.65
5324599,Construction Worker,32,Monthly,58,Primary,1,1,10,Skilled,5,0.2,1,Pucca,18056,31423,0.57,0.92
40831999,Construction Worker,49,Monthly,88,Primary,1,1,10,Skilled,2,0.7,1,Pucca,27684,59496,0.47,0.95
